DOES STANCE SURVIVE A READOUT THAT RESPECTS TIME?
Representation held fixed, readout varied. 'shuffled' applies the same
readout to frame-shuffled clips, so it matches on dimensionality and on
every feature's marginal distribution but destroys order.

Every score is the mean over 25 independent episode-to-fold
partitions, with its sd. A single partition is not a stable measurement:
holding everything else constant, fold assignment alone moves macro-F1 by
sd 0.010 and range up to 0.06, and sklearn changed its own assignment
between 1.7 and 1.9. Partitions are defined here, not by GroupKFold, so
these numbers do not depend on which sklearn is installed.

'order' is PAIRED: real minus shuffled on each partition separately, then
averaged. Partition noise is shared by both and cancels, so its sd is much
smaller than the sd of either column. t is order / stderr(order).
========================================================================================================
representation readout     dims  macroF1      ±  shuffled      ±   order      ±      t  chance
hubert_L24     meanstd     2048    0.469  0.013         —      —       —      —      —     nan
hubert_L24     basis8      8192    0.468  0.012     0.416  0.013  +0.052  0.019   13.7     nan
hubert_L24     seg4        8192    0.504  0.012     0.469  0.013  +0.035  0.017   10.5     nan
whisper_L0     meanstd     1536    0.418  0.013         —      —       —      —      —     nan
whisper_L0     basis8      6144    0.406  0.011     0.357  0.010  +0.049  0.014   17.2     nan
whisper_L0     seg4        6144    0.439  0.014     0.384  0.012  +0.055  0.021   13.1     nan
whisper_L1     meanstd     1536    0.427  0.015         —      —       —      —      —     nan
whisper_L1     basis8      6144    0.412  0.013     0.395  0.013  +0.018  0.019    4.8     nan
whisper_L1     seg4        6144    0.447  0.015     0.401  0.012  +0.045  0.013   17.0     nan
whisper_L2     meanstd     1536    0.442  0.014         —      —       —      —      —     nan
whisper_L2     basis8      6144    0.427  0.011     0.397  0.014  +0.029  0.017    8.7     nan
whisper_L2     seg4        6144    0.469  0.016     0.430  0.013  +0.039  0.021    9.2     nan
whisper_L3     meanstd     1536    0.480  0.015         —      —       —      —      —     nan
whisper_L3     basis8      6144    0.437  0.010     0.397  0.012  +0.040  0.014   14.5     nan
whisper_L3     seg4        6144    0.472  0.012     0.445  0.010  +0.027  0.010   13.2     nan
whisper_L4     meanstd     1536    0.458  0.011         —      —       —      —      —     nan
whisper_L4     basis8      6144    0.467  0.009     0.412  0.012  +0.055  0.016   17.0     nan
whisper_L4     seg4        6144    0.482  0.013     0.458  0.014  +0.024  0.015    8.3     nan
whisper_L5     meanstd     1536    0.470  0.012         —      —       —      —      —     nan
whisper_L5     basis8      6144    0.478  0.012     0.429  0.011  +0.049  0.019   13.1     nan
whisper_L5     seg4        6144    0.499  0.012     0.453  0.011  +0.046  0.014   16.6     nan
whisper_L6     meanstd     1536    0.472  0.012         —      —       —      —      —     nan
whisper_L6     basis8      6144    0.484  0.011     0.436  0.016  +0.048  0.020   11.8     nan
whisper_L6     seg4        6144    0.523  0.012     0.477  0.014  +0.047  0.013   17.7     nan
whisper_L7     meanstd     1536    0.508  0.013         —      —       —      —      —     nan
whisper_L7     basis8      6144    0.504  0.009     0.436  0.011  +0.068  0.015   23.1     nan
whisper_L7     seg4        6144    0.536  0.012     0.488  0.013  +0.047  0.015   15.6     nan
whisper_L8     meanstd     1536    0.542  0.012         —      —       —      —      —     nan
whisper_L8     basis8      6144    0.517  0.013     0.447  0.010  +0.070  0.019   18.8     nan
whisper_L8     seg4        6144    0.571  0.014     0.530  0.013  +0.040  0.019   10.6     nan
whisper_L9     meanstd     1536    0.548  0.011         —      —       —      —      —     nan
whisper_L9     basis8      6144    0.521  0.010     0.451  0.012  +0.070  0.015   23.6     nan
whisper_L9     seg4        6144    0.577  0.013     0.550  0.011  +0.027  0.014    9.5     nan
whisper_L10    meanstd     1536    0.550  0.014         —      —       —      —      —     nan
whisper_L10    basis8      6144    0.541  0.009     0.445  0.013  +0.095  0.013   35.5     nan
whisper_L10    seg4        6144    0.585  0.011     0.541  0.011  +0.044  0.015   14.7     nan
whisper_L11    meanstd     1536    0.546  0.011         —      —       —      —      —     nan
whisper_L11    basis8      6144    0.541  0.012     0.455  0.011  +0.087  0.017   25.9     nan
whisper_L11    seg4        6144    0.586  0.011     0.548  0.009  +0.037  0.011   16.9     nan
whisper_L12    meanstd     1536    0.551  0.012         —      —       —      —      —     nan
whisper_L12    basis8      6144    0.552  0.011     0.435  0.011  +0.118  0.017   35.0     nan
