rep,readout,dims,f1,f1_sd,shuffled,shuffled_sd,order,order_sd,t,chance,n_partitions,secs
hubert_L13,meanstd,2048,0.468,0.0131,,,,,,,25,17.4
hubert_L13,basis8,8192,0.4938,0.0107,0.4184,0.0107,0.0754,0.0169,22.34,,25,16.3
hubert_L13,seg4,8192,0.5051,0.0113,0.468,0.0106,0.0371,0.0161,11.54,,25,21.7
hubert_L14,meanstd,2048,0.4669,0.0135,,,,,,,25,15.9
hubert_L14,basis8,8192,0.4949,0.0081,0.4168,0.0102,0.0781,0.0121,32.26,,25,16.2
hubert_L14,seg4,8192,0.5074,0.0095,0.4555,0.012,0.0519,0.0125,20.69,,25,21.6
hubert_L15,meanstd,2048,0.4673,0.0121,,,,,,,25,14.4
hubert_L15,basis8,8192,0.4985,0.0111,0.406,0.0119,0.0925,0.0171,26.98,,25,16.5
hubert_L15,seg4,8192,0.5035,0.0132,0.4653,0.0108,0.0382,0.0123,15.54,,25,21.1
hubert_L16,meanstd,2048,0.4797,0.016,,,,,,,25,17.7
hubert_L16,basis8,8192,0.5046,0.0123,0.414,0.01,0.0906,0.0153,29.64,,25,16.1
hubert_L16,seg4,8192,0.506,0.0137,0.4726,0.0141,0.0335,0.0174,9.6,,25,21.0
hubert_L17,meanstd,2048,0.4781,0.0121,,,,,,,25,13.8
hubert_L17,basis8,8192,0.5006,0.0106,0.4188,0.0138,0.0817,0.0182,22.5,,25,16.3
hubert_L17,seg4,8192,0.5211,0.0136,0.4717,0.0093,0.0494,0.0162,15.27,,25,21.2
hubert_L18,meanstd,2048,0.4743,0.0127,,,,,,,25,13.7
hubert_L18,basis8,8192,0.5143,0.0103,0.426,0.0114,0.0883,0.0149,29.58,,25,15.7
hubert_L18,seg4,8192,0.5356,0.0116,0.4795,0.0117,0.0561,0.0152,18.5,,25,20.9
hubert_L19,meanstd,2048,0.4913,0.0105,,,,,,,25,12.9
hubert_L19,basis8,8192,0.5201,0.0125,0.4282,0.0121,0.0919,0.0163,28.14,,25,15.0
hubert_L19,seg4,8192,0.535,0.01,0.4916,0.0108,0.0434,0.0147,14.74,,25,20.6
hubert_L20,meanstd,2048,0.4931,0.0086,,,,,,,25,18.6
hubert_L20,basis8,8192,0.5135,0.0093,0.4263,0.0107,0.0872,0.0123,35.58,,25,14.5
hubert_L20,seg4,8192,0.5411,0.0109,0.5001,0.0116,0.0409,0.0145,14.07,,25,21.1
hubert_L21,meanstd,2048,0.4956,0.0108,,,,,,,25,15.2
hubert_L21,basis8,8192,0.5078,0.0125,0.4241,0.0115,0.0838,0.0163,25.75,,25,15.1
hubert_L21,seg4,8192,0.5245,0.0105,0.5033,0.0115,0.0212,0.0135,7.88,,25,21.7
hubert_L22,meanstd,2048,0.474,0.0107,,,,,,,25,17.3
hubert_L22,basis8,8192,0.4853,0.0118,0.414,0.0136,0.0713,0.0153,23.37,,25,17.1
hubert_L22,seg4,8192,0.5166,0.0097,0.4761,0.0103,0.0405,0.0119,16.96,,25,23.2
hubert_L23,meanstd,2048,0.5052,0.0125,,,,,,,25,5.4
hubert_L23,basis8,8192,0.4902,0.0116,0.4041,0.0144,0.0861,0.0202,21.3,,25,17.5
hubert_L23,seg4,8192,0.5263,0.0136,0.4923,0.0115,0.034,0.018,9.43,,25,24.6
hubert_L24,meanstd,2048,0.4694,0.0134,,,,,,,25,16.9
hubert_L24,basis8,8192,0.4679,0.0123,0.4158,0.0132,0.0521,0.019,13.72,,25,16.4
hubert_L24,seg4,8192,0.5042,0.0121,0.4691,0.0127,0.035,0.0167,10.49,,25,22.0
whisper_L0,meanstd,1536,0.4181,0.0128,,,,,,,25,11.4
whisper_L0,basis8,6144,0.4064,0.0111,0.357,0.0095,0.0494,0.0144,17.15,,25,22.3
whisper_L0,seg4,6144,0.4388,0.014,0.3836,0.0122,0.0552,0.0211,13.08,,25,21.3
whisper_L1,meanstd,1536,0.4267,0.015,,,,,,,25,13.0
whisper_L1,basis8,6144,0.4122,0.0135,0.3945,0.0129,0.0177,0.0185,4.77,,25,14.0
whisper_L1,seg4,6144,0.4467,0.0149,0.4013,0.0125,0.0453,0.0133,17.01,,25,18.6
whisper_L2,meanstd,1536,0.4422,0.0137,,,,,,,25,13.0
whisper_L2,basis8,6144,0.4266,0.0112,0.3973,0.0137,0.0292,0.0168,8.7,,25,12.4
whisper_L2,seg4,6144,0.4691,0.0159,0.4304,0.0127,0.0387,0.021,9.24,,25,17.1
whisper_L3,meanstd,1536,0.4795,0.0145,,,,,,,25,11.1
whisper_L3,basis8,6144,0.4369,0.0105,0.3974,0.0116,0.0395,0.0136,14.48,,25,11.8
whisper_L3,seg4,6144,0.4724,0.0119,0.4452,0.01,0.0272,0.0103,13.15,,25,15.9
whisper_L4,meanstd,1536,0.4583,0.0108,,,,,,,25,11.7
whisper_L4,basis8,6144,0.4674,0.009,0.4119,0.0117,0.0554,0.0163,16.96,,25,11.6
whisper_L4,seg4,6144,0.4824,0.0128,0.458,0.0138,0.0243,0.0146,8.33,,25,15.1
whisper_L5,meanstd,1536,0.4698,0.0118,,,,,,,25,12.4
whisper_L5,basis8,6144,0.4782,0.0122,0.429,0.011,0.0492,0.0188,13.06,,25,11.2
whisper_L5,seg4,6144,0.4991,0.0125,0.4532,0.0106,0.0459,0.0139,16.58,,25,14.8
whisper_L6,meanstd,1536,0.4716,0.0117,,,,,,,25,9.8
